MEMID,ED4A
017002003,Lower Secondary
017002004,Primary
017003001,Upper Secondary
017003002,Upper Secondary
017003003,Upper Secondary
017003004,Lower Secondary
017004001,Upper Secondary
017004002,Upper Secondary
017004003,Primary
017004004,
017005001,Primary
017005002,Primary
017005003,Lower Secondary
017005004,Lower Secondary
017006001,Upper Secondary
017006002,Professional School
017007001,Primary
017008001,Lower Secondary
017008002,Lower Secondary
017009001,Professional School
017009002,Professional School
017009003,
017009004,
017009005,Primary
017009006,Upper Secondary
017010001,Primary
017010002,Professional School
017010003,College/University and above
017010004,Preschool
017011001,Upper Secondary
017011002,Upper Secondary
017011003,Primary
017011004,
017012001,Professional School
017012002,Professional School
017013001,Lower Secondary
017013002,Lower Secondary
017013003,College/University and above
017013004,Primary
017014001,College/University and above
017014002,Lower Secondary
017014003,Primary
017015001,Lower Secondary
017015002,College/University and above
017015003,College/University and above
017015004,
017015005,
017016001,Primary
017016002,Lower Secondary
017017001,College/University and above
017018001,College/University and above
017018002,Professional School
017018003,College/University and above
017018004,Upper Secondary
017019001,Lower Secondary
017019002,Professional School
017020001,Lower Secondary
017020002,Upper Secondary
018001001,Lower Secondary
018001002,Upper Secondary
018001003,Upper Secondary
018001004,Upper Secondary
018001005,Upper Secondary
018001006,
018002001,Lower Secondary
018002002,Professional School
018002003,College/University and above
018002004,College/University and above
018002005,College/University and above
018002006,
018003001,College/University and above
018003002,Professional School
018003003,College/University and above
018003004,College/University and above
018003005,Primary
018003006,
018004001,Lower Secondary
018004002,Upper Secondary
018004003,College/University and above
018004004,College/University and above
018004005,College/University and above
018004006,
018005001,Lower Secondary
018005002,Lower Secondary
018005003,College/University and above
018005004,
018005005,Upper Secondary
018005006,Lower Secondary
018005007,Primary
018006001,Upper Secondary
018006002,Lower Secondary
018006003,Lower Secondary
018007001,College/University and above
018007002,College/University and above
018007003,College/University and above
018007004,College/University and above
018008001,Professional School
018008002,Upper Secondary
018008003,Professional School
018009001,Lower Secondary
018009002,College/University and above
018009003,College/University and above
018009004,Professional School
018009005,Primary
018009006,
018010001,College/University and above
018010002,Professional School
018010003,Lower Secondary
018010004,Primary
018011001,Primary
018011002,Upper Secondary
018011003,Primary
018011004,Upper Secondary
018012001,College/University and above
018012002,College/University and above
018012003,Preschool
018012004,Upper Secondary
018013001,Professional School
018013002,College/University and above
018013003,Upper Secondary
018013004,Upper Secondary
018013005,Upper Secondary
018013006,Primary
018014001,Lower Secondary
018014002,College/University and above
018014003,College/University and above
018014004,College/University and above
018014005,Primary
018014006,Preschool
018015001,Lower Secondary
018015002,Upper Secondary
018015003,College/University and above
018015004,Primary
018016001,Professional School
018016002,Professional School
018016003,College/University and above
018016004,Upper Secondary
018016005,Lower Secondary
018017001,College/University and above
018017002,College/University and above
018017003,College/University and above
018018001,College/University and above
018018002,Professional School
018019001,College/University and above
018019002,College/University and above
018020001,College/University and above
018020002,College/University and above
018020003,College/University and above
019001001,Lower Secondary
019001002,Lower Secondary
019002001,Lower Secondary
019002002,Lower Secondary
019003001,College/University and above
019003002,Lower Secondary
019003003,College/University and above
019003004,College/University and above
019004001,Primary
019004002,Primary
019004003,Lower Secondary
019004004,Upper Secondary
019004005,
019006001,Lower Secondary
019006002,Lower Secondary
019006003,College/University and above
019007001,Lower Secondary
019007002,Primary
019007003,College/University and above
019007004,College/University and above
019007005,College/University and above
019007006,Lower Secondary
019009001,Lower Secondary
019009002,College/University and above
019009003,Upper Secondary
019010001,Lower Secondary
019010002,Lower Secondary
019010003,Professional School
019010004,Lower Secondary
019010005,Professional School
019010006,
019011001,Primary
019011002,Lower Secondary
019011003,Lower Secondary
019011004,Upper Secondary
019011005,Upper Secondary
019011006,Primary
019011007,
019012001,Upper Secondary
019012002,Lower Secondary
019012003,College/University and above
019012004,College/University and above
019012005,Primary
019013001,College/University and above
019013002,College/University and above
019013003,
019013004,
019014001,Lower Secondary
019014002,Lower Secondary
019014003,College/University and above
019014004,Primary
019015001,Lower Secondary
019015002,Primary
019015003,Primary
019015004,
